ライン,対象種別,座標,拠点ID,現所有連盟,所有サーバ,色区分,敵味方判定,現在状態,目標開放,必要な実行時間帯,対象判定,除外理由,確認状態,メモ
B,漁場,#523 B-9,#523:B-9,EDFS,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#523 B-11,#523:B-11,u3o,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
B,漁場,#523 B-13,#523:B-13,EDFS,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#523 B-15,#523:B-15,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#523 B-17,#523:B-17,5DU,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
B,漁場,#523 B-19,#523:B-19,K4TR,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#523 B-21,#523:B-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#534 A-1,#534:A-1,nO9,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-3,#534:A-3,KTVS,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-5,#534:A-5,4tH,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-7,#534:A-7,476C,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#534 A-9,#534:A-9,SHA0,unknown,blue,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-11,#534:A-11,Trh,unknown,blue,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-13,#534:A-13,4tH,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-15,#534:A-15,w6F,unknown,blue,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-17,#534:A-17,w6F,unknown,blue,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-19,#534:A-19,KTVS,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#534 A-21,#534:A-21,KTVS,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-1,#534:B-1,Skh,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-3,#534:B-3,Skh,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-5,#534:B-5,4tH,534,blue,self,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-7,#534:B-7,476C,476,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#534 B-9,#534:B-9,SHA0,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-11,#534:B-11,Trh,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-13,#534:B-13,SHA,534,blue,self,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-15,#534:B-15,MOE,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-17,#534:B-17,w6F,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-19,#534:B-19,w6F,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#534 B-21,#534:B-21,w6F,unknown,blue,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
