target_server,coord,x,y,event_time,frame,source_text
#509,a-10,449,49,2026-5-2700:35:38,frame_0005,"#476[AL]が#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,a-12,549,49,2026-5-2703:04:40,frame_0007,"#475[476k]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
#509,a-14,649,49,2026-5-2700:52:11,frame_0006,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱x2をち取りました"
#509,a-16,749,49,2026-6-312:48:41,frame_0170,"#503[5tj]が#534[5HA]領有中のLV.1都市#509(749,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,a-18,849,49,2026-6-320:03:12,frame_0177,"#503[GX99]が#509[AoW]領有中のL.1都市 #509(849,49)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,b-2,49,149,2026-6-1320:43:18,frame_0298,"#503[GX99」が#534[SHA】領有中のLV.1都市 #509(49,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,b-4,149,149,2026-6-1702:03:02,frame_0301,"#476[476d]が#509[ext]領有中のLV.1都市 #509(149,149)を攻撃し、陣営のために破壊宝箱xを勝 碓定 全て受取 三！ 破壊履歴"
#509,b-6,249,149,2026-6-1704:02:56,frame_0303,"#476[476d]が#509[VEX]領有中のL.1都市 #509(249,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#509,b-8,349,149,2026-6-1312:02:45,frame_0270,"#476[476d]が#509[VEX]領有中のLV.1都市 #509(349,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,b-10,449,149,2026-6-1304:39:34,frame_0266,"#476[476d]が#509[VEX]領有中のLV.1都市 #509(449,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#509,b-12,549,149,2026-5-3012:34:40,frame_0112,"#503[TIKW」が#509[VEX]領有中のL.1都市 #509(549,149)を攻撃し、陣営のために破壊宝額xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,b-14,649,149,2026-6-312:46:30,frame_0169,"#503[one]が#509[AoW]領有中のLV.1都市 #509(649,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,b-16,749,149,2026-5-3004:11:00,frame_0074,"#503[one]が#509[0UM]領有中のL.1都市 #509(749,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#509,b-18,849,149,2026-6-612:01:40,frame_0195,"#503[one]が#509[AoW]領有中のLV.1都市 #509(849,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 目 破壊履歴"
#509,c-2,49,249,2026-6-1312:20:13,frame_0277,"#503[GX99」が#509[tWD】領有中のLV.1都市 #509(49,249)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#509,c-4,149,249,2026-6-620:25:49,frame_0210,"#476[476d]が#509[tWD]領有中のLV.1都市 #509(149,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,c-6,249,249,2026-6-612:23:21,frame_0202,"#476[476d]が#509[tWD]領有中のLV.2都市 #509(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#509,c-8,349,249,2026-5-3000:08:17,frame_0070,"#476[476dが#509[VEX]領有中のLV.2都市 #509(349,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#509,c-10,449,249,2026-5-2712:21:12,frame_0037,"#503[Lghs」が#509[VEX]領有中のL.都市 #509(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 破壊履歴"
#509,c-12,549,249,2026-5-3004:48:18,frame_0078,"#476[476d]が#509[VEX]領有中のL.2都市 #509(549,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#509,c-14,649,249,2026-5-3012:03:55,frame_0083,"#503[GX99」が#509[550]領有中のLV.2都市 #509(649,249)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 三！ 破壊履歴"
#509,c-16,749,249,2026-5-3012:19:06,frame_0100,"#503lone]が#509[5s0]領有中のLv.都市#509(749,249)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#509,c-18,849,249,2026-5-2712:19:34,frame_0032,"#480[RCON」が#509[5SQ]領有中のLV.1都市 #509(849,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,d-2,49,349,2026-6-1312:08:33,frame_0273,"#503[one]が#509[BHE]領有中のLV.1都市#509(49,349)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,d-4,149,349,2026-6-1020:07:01,frame_0253,"#503[GX99]が#509[tWD]領有中のL.1都市 #509(149,349)を攻撃し、陣営のために破壊宝箱x2を勝 碓定 全て受取 三！ 破壊履歴"
#509,d-6,249,349,2026-5-3012:14:27,frame_0095,"#503[GX99]が#509[tUD]領有中のL.2都市 #509(249,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#509,d-8,349,349,2026-5-3012:30:00,frame_0109,"#476[476A」が#509[VEX]領有中のLV.3都市 #509(349,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました AフE_ _コn イつ.コフ.フロ 碓定 全て受取 破壊履歴"
#509,d-10,449,349,2026-5-2720:12:18,frame_0063,"#476[476A]が#509[550]領有中のLv.3都市 #509(449,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#509,d-12,549,349,2026-5-2720:02:38,frame_0058,"#476[476A]が#509[5s0]領有中のLV.3都市 #509(549,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 目 破壊履歴"
#509,d-14,649,349,2026-6-610:35:19,frame_0195,"#503[GX99」が#509[FHX]領有中のLV.3都市 #509(649,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#509,d-16,749,349,2026-5-3012:19:44,frame_0101,"#480[RCON」が#509[5sq]領有中のLV.z都市 #509(749,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#509,d-18,849,349,2026-5-3012:20:49,frame_0104,"#480[RCON」が#509[5sQ]領有中のLV.1都市 #509(849,349)を攻撃し、陣営のために破壊宝箱xを勝 十印い士ーた 碓定 全て受取 目 破壊履歴"
#509,e-2,49,449,2026-6-1312:01:24,frame_0267,"#503[xjR】が#509[tWD】領有中のLV.1都市#509(49,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,e-4,149,449,2026-6-312:14:20,frame_0159,"#503[fzn]が#509[tUD]領有中のLV.1都市#509(149,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,e-6,249,449,2026-5-3012:15:26,frame_0095,"#503[Lghs」が#509[tWD】領有中のL.z都市 #509(249,449)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 破壊履歴"
#509,e-8,349,449,2026-5-3012:25:17,frame_0109,"#476[476A」が#509[5S0]領有中のLV.3都市 #509(349,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#509,e-14,649,449,2026-5-3012:04:53,frame_0087,"#503[Lghs」が#509[FHX]領有中のLV.3都市 #509(649,449)を攻撃し、陣営のために破壊宝額x10を 勝ち取りました フAフE Eコn 4 .nA. o 碓定 全て受取 目 破壊履歴"
#509,e-16,749,449,2026-5-2712:20:01,frame_0033,"#503[Lghs」が#509[FHX]領有中のLv.z都市 #509(749,449)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 三！ 破壊履歴"
#509,e-18,849,449,2026-6-312:12:41,frame_0156,"#503[Lghs」が#509[FHX]領有中のLV.1都市 #509(849,449)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2025-5-3 12.13・11 碓定 全て受取 目 破壊履歴"
#509,f-2,49,549,2026-6-304:20:01,frame_0135,"#503[Bye]が#509【eXt]領有中のLV.1都市#509(49,549)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#509,f-4,149,549,2026-6-2012:02:13,frame_0342,"#503[one]が#509[tWD」領有中のL.1都市#509(149,549)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,f-6,249,549,2026-6-304:35:23,frame_0140,"#480[TkTK】が#509[BHE領有中のLV.2都市 #509(249,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 目 破壊履歴"
#509,f-8,349,549,2026-6-312:40:00,frame_0164,"#476[476A]が#509[tWD]領有中のLv.3都市 #509(349,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 破壊履歴"
#509,f-14,649,549,2026-6-1012:11:54,frame_0228,"#503[GX99]が#509[FHX]領有中のL.3都市 #509(649,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#509,f-16,749,549,2026-5-2712:01:52,frame_0013,"#503[GX99】が#509[FHX]領有中のLV.z都市 #509(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#509,f-18,849,549,2026-5-2712:01:56,frame_0016,"#503[Bye】が#509[FHX]領有中のLV.1都市 #509(849,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,g-2,49,649,2026-6-304:20:01,frame_0134,"#503[Bye】が#509[ext]領有中のLV.1都市#509(49,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,g-4,149,649,2026-6-312:07:32,frame_0151,"#480[TKTKが#509[BHE]領有中のLV.1都市 #509(149,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,g-6,249,649,2026-6-312:05:22,frame_0150,"#503[xjR]が#509[BHE]領有中のL.2都市#509(249,649)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#509,g-8,349,649,2026-6-312:18:24,frame_0160,"#476[476A]が#509[BHE]領有中のLV.3都市 #509(349,649)を攻撃し、陣営のために破壊宝箱x10を 碓定 全て受取 破壊履歴"
#509,g-10,449,649,2026-6-612:14:04,frame_0196,"#476[476A」が#509[MOn]領有中のLV.3都市 #509(449,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 破壊履歴"
#509,g-12,549,649,2026-6-1704:16:12,frame_0310,"#476[476A]が#509[FHX]領有中のLV.3都市 #509(549,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#509,g-16,749,649,2026-5-2712:35:01,frame_0050,"#503[xjR】が#509[MOn】領有中のLV.2都市#509(749,649)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#509,g-18,849,649,2026-5-2712:38:18,frame_0049,"#503[UMN」が#509[M0n]領有中のLV.1都市 #509(849,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,h-2,49,749,2026-6-304:15:21,frame_0133,"#503[xjR」が#509[KOCH]領有中のLV.1都市#509(49,749)を 攻撃し、陣営のために破壊宝箱xをち取りました"
#509,h-4,149,749,2026-5-3012:07:03,frame_0091,"#503[xjR」が#509[BHE]領有中のLV.1都市#509(149,749)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#509,h-6,249,749,2026-6-304:24:08,frame_0140,"#509[FHX]が#523[NBNH]領有中のLV.1都市 #523(849,549)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました Z026-6-3 04:25:25 #503[fzn]が#509[BHE]領有中のLv.z都市#509(249,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#509,h-8,349,749,2026-5-3004:31:10,frame_0075,"#503[fzn]が#509[BHE]領有中のL.2都市#509(349,749)を 攻撃し、陣営のために破壊宝箱x5をち取りました"
#509,h-10,449,749,2026-6-312:45:55,frame_0168,"#503[5tj]が#509[MOn】領有中のLv.2都市#509(449,749)を 攻撃し、陣営のために破壊宝箱x5をち取りました 碓定 全て受取 三！ 破壊履歴"
#509,h-12,549,749,2026-6-312:41:56,frame_0166,"#503[one]が#509[MOn]領有中のLV.2都市#509(549,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 碓定 全て受取 目 破壊履歴"
#509,h-16,749,749,2026-5-2712:20:43,frame_0036,"#503[5t]が#509[MOn】領有中のL.2都市#509(749,749)を 攻撃し、陣営のために破壊宝箱x5をち取りました 碓定 全て受取 破壊履歴"
#509,h-18,849,749,2026-5-2712:14:39,frame_0027,"#503[5t]が#509[MOn】領有中のLV.1都市#509(849,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,i-6,249,849,2026-5-3012:17:52,frame_0098,"#503[xjR]が#509[OUM]領有中のL.1都市 #509(249,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,i-8,349,849,2026-5-3012:04:58,frame_0088,"#503[fzn」が#509[OUM]領有中のLV.1都市 #509(349,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,i-10,449,849,2026-5-3020:07:44,frame_0122,"#503[5t])が#509[AoW]領有中のLV.1都市#509(449,849)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#509,i-12,549,849,2026-5-3012:21:20,frame_0105,"#480【TkTk]が#509[AoW]領有中のLV.1都市 #509(549,849)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#509,i-14,649,849,2026-5-2712:29:10,frame_0043,"#503[xjR]が#509[OTT]領有中のLV.1都市#509(649,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,i-16,749,849,2026-5-2720:23:12,frame_0066,"#503[UMN」が#509[OTT]領有中のLV.1都市 #509(749,849)を攻撃し、陣営のために破壊宝箱xを勝 碓定 全て受取 三！ 破壊履歴"
#509,i-18,849,849,2026-5-3020:12:36,frame_0123,"#503[5t]が#509[OTT]領有中のLV.1都市#509(849,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,j-6,249,949,2026-6-604:28:41,frame_0188,"#503[UMN]が#509[0WM]領有中のLV.1都市 #509(249,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,j-8,349,949,2026-6-604:02:29,frame_0182,"#503[UMN」が#509[0WM]領有中のLV.1都市 #509(349,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,j-10,449,949,2026-6-312:26:39,frame_0161,"#503[UMN」が#509[AoW]領有中のLV.1都市 #509(449,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,j-12,549,949,2026-5-3020:04:58,frame_0120,"#503[UMN」が#509[AoW]領有中のLV.1都市 #509(549,949)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 碓定 全て受取 目 破壊履歴"
#509,j-14,649,949,2026-6-312:27:16,frame_0163,"#503[hMt]が#509[OTT]領有中のLV.1都市#509(649,949)を 攻撃し、陣営のために破壊宝箱※を勝ち取りました"
#509,j-16,749,949,2026-5-3012:32:25,frame_0110,"#503[UMN」が#509[OTT]領有中のLV.1都市 #509(749,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,j-18,849,949,2026-5-3012:46:46,frame_0117,"#503[hMt]が#509[0TT]領有中のLV.1都市#509(849,949)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#511,a-4,149,49,2026-5-3004:03:49,frame_0073,"#523[u30]が#511[5Vh]領有中のLV.1都市#511(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,a-6,249,49,2026-5-2712:13:53,frame_0026,"#523[u30】が#511領有中のLV.1都市#511(249,49)を攻 確定 全て受取 破壊履歴"
#511,a-10,449,49,2026-6-1704:39:55,frame_0310,"#523[NBNH]が#511[2N7]領有中のLV.1都市#511(449,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,a-12,549,49,2026-5-3004:43:19,frame_0077,"#523[K4TR」が#511領有中のLV.1都市#511(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,a-14,649,49,2026-5-3012:50:17,frame_0118,"#523[EDFS]が#511領有中のLV.1都市#511(649,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,a-16,749,49,2026-6-312:41:24,frame_0166,"#523[K4TR」が#511領有中のLV.1都市#511(749,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,b-4,149,149,2026-5-2712:07:38,frame_0021,"#523[K4TR】が#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 確定 全て受取 破壊履歴"
#511,b-6,249,149,2026-5-2712:22:48,frame_0038,"#523[u30」が#511領有中のLV.1都市#511(249,149)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,b-8,349,149,2026-5-2712:17:50,frame_0029,"#523[K4TR]が#511領有中のLV.1都市#511(349,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,b-10,449,149,2026-6-304:25:33,frame_0138,"#523[EDFS」が#511[sbM]領有中のLV.1都市#511(449,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,b-12,549,149,2026-6-1004:25:30,frame_0220,"#523[WUG]が#511sbM]領有中のLV.1都市#511(549,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,b-14,649,149,2026-6-2004:31:22,frame_0341,"#523[WUG]が#511[2N7]領有中のL.1都市#511(649,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,b-16,749,149,2026-6-604:18:05,frame_0186,"#480[AAOA」が#511領有中のLV.1都市#511(749,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,c-4,149,249,2026-5-2704:37:22,frame_0011,"#523[50U」が#511領有中のLV.1都市#511(149,249)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました"
#511,c-6,249,249,2026-6-1320:39:08,frame_0295,"#523[WUG]が#511[2N7]領有中のLv.2都市#511(249,249)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#511,c-8,349,249,2026-6-304:07:54,frame_0129,"#523[WUG」が#511[JL0]領有中のLv.2都市#511(349,249)を 一ト缶己！ 群止ラ＋ 三ー年山等-十屋+印5＋- 確定 全て受取 目 破壊履歴"
#511,c-10,449,249,2026-5-3020:41:23,frame_0125,"#523[fIrE]が#511[2N7]領有中のLV.2都市#511(449,249)を 確定 全て受取 破壊履歴"
#511,c-12,549,249,2026-6-304:10:22,frame_0130,"#523[WUG]が#511[JLO]領有中のL.2都市#511(549,249)を 確定 全て受取 目 破壊履歴"
#511,c-14,649,249,2026-6-312:30:04,frame_0164,"#480[AAOA]が#511[sbM]領有中のLV.2都市 #511(649,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#511,c-16,749,249,2026-5-3012:23:36,frame_0107,"#480[AAOA]が#511[sbM]領有中のLV.2都市 #511(749,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 破壊履歴"
#511,c-18,849,249,2026-6-1012:19:46,frame_0236,"#480[AAOA]が#511[DaNG】領有中のLV.1都市 #511(849,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,c-20,949,249,2026-6-621:05:05,frame_0211,"#480[WbW」が#511領有中のLV.1都市#511(949,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 確定 全て受取 目 破壊履歴"
#511,d-4,149,349,2026-5-3012:24:14,frame_0108,"#523[50U」が#511領有中のLV.1都市#511(149,349)を 攻撃し、陣営のために破壊宝箱xをち取りました 碓定 全て受取 三！ 破壊履歴"
#511,d-6,249,349,2026-6-609:03:05,frame_0193,"#523[50U」が#511領有中のLv.2都市#511(249,349)を 確定 全て受取 目 破壊履歴"
#511,d-8,349,349,2026-5-3012:07:08,frame_0091,"#523[fIrE]が#511[2N7]領有中のLV.3都市#511(349,349)を 攻撃し、陣営のために破壊宝箱x10をち取りました 碓定 全て受取 破壊履歴"
#511,d-10,449,349,2026-6-312:03:30,frame_0147,"#503[Lghs」が#511[2N7]領有中のLV.3都市#511(449,349)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました"
#511,d-12,549,349,2026-6-312:03:45,frame_0147,"#523[NBNH」が#511[2N7]領有中のLV.3都市 #511(549,349)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
#511,d-14,649,349,2026-5-2712:33:25,frame_0050,"#480[Wbu」が#511[5Va】領有中のLV.3都市 #511(649,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#511,d-16,749,349,2026-6-312:48:56,frame_0170,"#480[AAOA】が#511[sbM]領有中のLV.2都市 #511(749,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 目 破壊履歴"
#511,d-18,849,349,2026-6-604:15:19,frame_0185,"#480[WbW」が#511[sbM]領有中のLV.1都市 #511(849,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,d-20,949,349,2026-6-1020:05:16,frame_0252,"#476[476k]が#511[DaNG]領有中のLV.1都市 #511(949,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,e-4,149,449,2026-5-2712:19:24,frame_0031,"#523[EDFS]が#511領有中のLV.1都市#511(149,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 破壊履歴"
#511,e-6,249,449,2026-5-3012:20:32,frame_0103,"#523[50U]が#511[2N7]領有中のLv.z都市#511(249,449)を 確定 全て受取 三！ 破壊履歴"
#511,e-8,349,449,2026-5-2720:20:19,frame_0064,"#523[WUG】が#511[JL0】領有中のLV.3都市#511(349,449)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,e-14,649,449,2026-5-2712:23:26,frame_0039,"#480[BgNa】が#511[5Val領有中のLV.3都市 #511(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#511,e-16,749,449,2026-6-604:13:03,frame_0183,"#480[WbW』」が#511[sbM]領有中のLV.2都市 #511(749,449)を攻撃し、陣営のために破壊宝箱*5を勝 ち取りました 2n75-5-5 04・15.10 碓定 全て受取 目 破壊履歴"
#511,e-18,849,449,2026-6-1000:10:03,frame_0213,"#480[Wbu」が#511[5Va】領有中のL.1都市 #511(849,449)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#511,e-20,949,449,2026-6-1020:02:55,frame_0249,"#476[476k]が#511[DaNG]領有中のL.1都市 #511(949,449)を攻撃し、陣営のために破壊宝額x2を勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,f-6,249,549,2026-6-304:04:27,frame_0128,"#523[fIrE]が#511[)0]領有中のLv.2都市#511(249,549)を Th車一. 味のために店車宝絡い左隣を印キした 確定 全て受取 三！ 破壊履歴"
#511,f-8,349,549,2026-5-3013:06:13,frame_0120,"#523[WUG]が#511[O]領有中のLV.3都市#511(349,549)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました"
#511,f-14,649,549,2026-6-312:06:39,frame_0150,"#480[WbW」が#511[SVa]領有中のLV.3都市 #511(649,549)を攻撃し、陣営のために破壊宝箱x10を 叫+印54-+ 碓定 全て受取 三！ 破壊履歴"
#511,f-16,749,549,2026-6-604:06:20,frame_0184,"#480[BgNa】が#511[5Va]領有中のLV.2都市 #511(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#511,f-20,949,549,2026-6-1312:29:54,frame_0282,"#476[476M」が#511/5Va]領有中のLV.1都市 #511(949,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,g-4,149,649,2026-6-1004:19:45,frame_0219,"#523[WUG]が#511[JL0]領有中のL.1都市#511(149,649)を 確定 全て受取 破壊履歴"
#511,g-6,249,649,2026-5-2720:23:21,frame_0068,"#523[WUG]が#511[)L0]領有中のLV.2都市#511(249,649)を 攻撃し、陣営のために破壊宝箱x5をち取りました"
#511,g-8,349,649,2026-5-3004:07:43,frame_0073,"#523[WUG]が#511[)L0]領有中のLV.3都市#511(349,649)を 攻撃し、陣営のために破壊宝箱x10を勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,g-10,449,649,2026-5-2720:17:55,frame_0063,"#480[WbW」が#511[DaNG]領有中のLV.3都市 #511(449,649)を攻撃し、陣営のために破壊宝箱x10を 避十印い士ーた 碓定 全て受取 目 破壊履歴"
#511,g-12,549,649,2026-5-3012:41:08,frame_0113,"#480[BgNa】が#511[DaNG]領有中のLv.3都市 #511(549,649)を攻撃し、陣営のために破壊宝額x10を 勝ち取りました"
#511,g-14,649,649,2026-6-312:02:53,frame_0144,"#480[BgNa]が#511[DaNG]領有中のLV.3都市 #511(649,649)を攻撃し、陣営のために破壊宝箱x10を 碓定 全て受取 目 破壊履歴"
#511,g-16,749,649,2026-6-604:06:20,frame_0183,"#480[BgNa】が#511[5Va】領有中のL.2都市 #511(749,649)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#511,g-18,849,649,2026-5-2712:06:12,frame_0018,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 竹整1.堂のために破壊宝箱xをち取りましった 確定 全て受取 目 破壊履歴"
#511,g-20,949,649,2026-5-2720:25:53,frame_0069,"#480[cDf8]が#511領有中のLV.1都市#511(949,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,h-4,149,749,2026-6-2020:05:18,frame_0359,"#523[NBNH]が#511[JL0]領有中のLV.1都市#511(149,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#511,h-6,249,749,2026-5-2712:28:41,frame_0042,"#523[fIrEが#511領有中のLV.2都市#511(249,749)を攻 呼たう 亠 ＋月年 確定 全て受取 三！ 破壊履歴"
#511,h-8,349,749,2026-5-3020:53:06,frame_0127,"#523[fIrE]が#511[JL0]領有中のLV.2都市#511(349,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2025-5-3 n4・02・32 碓定 全て受取 目 破壊履歴"
#511,h-10,449,749,2026-5-2712:30:02,frame_0044,"#523[NBNH]が#511[DaNG]領有中のLv.2都市 #511(449,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#511,h-12,549,749,2026-5-2712:02:34,frame_0016,"#476[476X]が#511[DaNG]領有中のLv.2都市 #511(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 目 破壊履歴"
#511,h-14,649,749,2026-5-2712:03:31,frame_0017,"#476[476X]が#511[DaNG]領有中のLv.z都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 三！ 破壊履歴"
#511,h-16,749,749,2026-5-3012:03:46,frame_0083,"#476[476X】が#511[5Va】領有中のLV.2都市#511(749,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#511,h-18,849,749,2026-6-1012:39:32,frame_0242,"#480[AAOA】が#511[5Va】領有中のLV.1都市 #511(849,749)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#511,h-20,949,749,2026-5-2712:35:10,frame_0048,"#476[476M]が#511領有中のLV.1都市#511(949,749)を 碓定 全て受取 破壊履歴"
#511,i-4,149,849,2026-5-2715:32:53,frame_0054,"#523[NBNH]が#511領有中のLV.1都市#511(149,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#511,i-6,249,849,2026-6-1004:10:45,frame_0217,"#523[fIrEが#511[)L2]領有中のLV.1都市#511(249,849)を Th宙口1 はやうたメ！ー仲場口各一十味十町5止1土 確定 全て受取 目 破壊履歴"
#511,i-8,349,849,2026-6-1004:16:14,frame_0218,"#523[fIrEが#511[)L2]領有中のLV.1都市#511(349,849)を Th重安1 は尚のため1地南中竺、った脳士取いキ1た 確定 全て受取 三！ 破壊履歴"
