reason,sheet_row,target_server,x,y,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,existing_type,event_type,kind_sheet
existing_newer,913,#509,699,499,2026/06/03 23:14,2026/05/24 07:08:00,GX99,GX99,IMG_0872.PNG,"連盟GX99は連盟AOWのLV.3漁場 #509(X:699,Y:499)を奪い",,,
existing_newer,901,#509,799,99,2026/05/30 23:10,2026/05/24 07:09:00,one,CZX,IMG_0641.PNG,"連盟CZXがLV.1漁場 #509(X:799,Y:99)を占 領",,,
existing_newer,1966,#8061,874,924,2026/05/28 7:10,2026/05/24 07:10:00,JDX,TIKW,IMG_0873.PNG,"連盟TIKWは連盟FHXのLV.6漁場 #8061(X:874,Y:924)を奪い",,,
existing_newer,914,#509,699,799,2026/06/03 15:08,2026/05/24 07:10:00,MOn,Stj,IMG_0873.PNG,"連盟Stjは連盟AoWのLV.2漁場 #509(X:699,Y:799)を奪い",,,
existing_newer,915,#509,599,899,2026/05/30 23:20,2026/05/24 07:10:00,Stj,fzn,IMG_0874.PNG,"連盟fznは連盟AoWのLV.1漁場 #509(X:599,Y:899)を奪い",,,
existing_newer,1573,#534,399,199,2026/06/04 9:21,2026/05/24 07:10:00,SHA0,476C,IMG_0874.PNG,"連盟476Cは連盟SHAOのLV.2漁場 #534(X:399,Y:199)を奪い",,,
type_mismatch,1344,#523,549,149,,2026/05/24 07:16:00,ALj,5DU,IMG_0875.PNG,"連盟5DUがLV.1湿地の村 #523(X:549,Y:149) を占領",漁場,都市,
existing_newer,910,#509,799,699,2026/06/03 23:41,2026/05/24 07:16:00,0TT,xjR,IMG_0875.PNG,"連盟xjRは連盟OTTのLV.2漁場 #509(X:799,Y:699)を奪い",,,
existing_newer,909,#509,499,978,2026/06/03 23:24,2026/05/24 07:25:00,hMt,0TT,IMG_0876.PNG,"連盟OTTがLV.1漁場 #509(X:499,Y:978)を占 領",,,
type_mismatch,501,#480,299,799,,2026/05/24 07:29:00,476d,TIKW,IMG_0641.PNG,"連盟TIKWがLV.2漁場 #480(X:299,Y:799)を 占領",交易地,漁場,
existing_newer,1343,#523,978,899,2026/05/24 7:43,2026/05/24 07:33:00,ALi,ALj,IMG_0876.PNG,"連盟ALjは連盟L2のLV.1漁場 #523(X:978,Y:899)を奪い",,,
existing_newer,1187,#511,799,399,2026/06/03 15:12,2026/05/24 07:38:00,WbW,sbM,IMG_0562.PNG,"連盟sbMがLV.2漁場 #511(X:799,Y:399)を占 領",,,
existing_newer,966,#509,699,299,2026/05/27 23:52,2026/05/24 07:41:00,Lghs,AoW,IMG_0563.PNG,"連盟AoWがLV.3漁場 #509(X:699,Y:299)を 占領",,,
existing_newer,908,#509,299,799,2026/05/30 15:08,2026/05/24 07:43:00,fzn,BHE,IMG_0877.PNG,"連盟BHEがLV.2漁場 #509(X:299,Y:799)を占 領",,,
existing_newer,907,#509,199,799,2026/05/30 15:18,2026/05/24 07:43:00,fzn,BHE,IMG_0877.PNG,"連盟BHEは連盟KOCHのLV.2漁場 #509(X:199,Y:799)を奪い",,,
type_mismatch,948,#509,99,499,,2026/05/24 07:55:00,RCON,BHE,IMG_0642.PNG,"連盟BHEがLV.1漁場 #509(X:99,Y:499)を占 領",交易地,漁場,
type_mismatch,1140,#511,749,449,,2026/05/24 07:55:00,JL0,sbM,IMG_0877.PNG,"連盟sbMがLV.2密林の兵舎 #511(X:749,Y:449)を占領",漁場,都市,
existing_newer,280,#476,199,599,2026/06/05 3:25,2026/05/24 08:02:00,476B,476H,IMG_0563.PNG,"連盟476HがLV.2漁場 #476(X:199,Y:599)を 占領",,,
existing_newer,1139,#511,749,749,2026/05/30 12:03,2026/05/24 09:08:00,破壊,SVa,IMG_0878.PNG,"連盟SVaがLV.2密林の兵舎 #511(X:749,Y:749)を占領",,,
row_not_found,,#503,749,649,,2026/05/24 09:08:00,,Stj,IMG_0878.PNG,"連盟StjがLV.2湿地の兵舎 #503(X:749,Y:649) を占領",,,都市
existing_newer,1963,#8061,824,124,2026/05/24 9:32,2026/05/24 09:22:00,SVa,SVa,IMG_0879.PNG,"連盟SVaがLV.7漁場 #8061(X:824,Y:124)を 占領",,,
existing_newer,1922,#8061,974,124,2026/05/26 7:14,2026/05/24 09:25:00,BgNa,BgNa,IMG_0565.PNG,"連盟BgNaがLV.5漁場 #8061(X:974,Y:124) を占領",,,
existing_newer,1935,#8061,924,74,2026/05/25 13:20,2026/05/24 09:25:00,AAOA,WbW,IMG_0565.PNG,"連盟WbWがLV.6漁場 #8061(X:924,Y:74)を 占領",,,
type_mismatch,692,#503,399,20,,2026/05/24 09:36:00,one,COZy,IMG_0879.PNG,"連盟COZyがLV.1漁場 #503(X:399,Y:20)を占 領",都市,漁場,
existing_newer,2009,#8061,874,24,2026/06/05 9:58,2026/05/24 09:41:00,Digg,BgNa,IMG_0566.PNG,"連盟BgNaがLV.5漁場 #8061(X:874,Y:24)を 占領",,,
existing_newer,1785,#8061,824,24,2026/05/28 14:02,2026/05/24 09:46:00,DaNG,WbW,IMG_0567.PNG,"連盟WbWがLV.5漁場 #8061(X:824,Y:24)を 占領",,,
existing_newer,1571,#534,349,349,2026/05/30 12:03,2026/05/24 10:03:00,破壊,4tH,IMG_0880.PNG,"連盟4tHがLV.3密林の集会場 #534(X:349,Y:349)を占領",,,
existing_newer,1138,#511,599,199,2026/05/30 15:18,2026/05/24 10:06:00,2N7,sbM,IMG_0880.PNG,"連盟sbMがLV.2漁場 #511(X:599,Y:199)を占 領",,,
existing_newer,1570,#534,449,649,2026/06/03 23:04,2026/05/24 10:06:00,nO9,4tH,IMG_0881.PNG,"連盟4tHがLV.3密林の集会場 #534(X:449,Y:649)を占領",,,
existing_newer,1569,#534,649,449,2026/05/30 12:03,2026/05/24 10:06:00,破壊,SHA,IMG_0881.PNG,"連盟SHAがLV.3密林の集会場 #534(X:649,Y:449)を占領",,,
existing_newer,1960,#8061,874,124,2026/05/24 11:16,2026/05/24 11:08:00,WbW,WbW,IMG_0903.PNG,"連盟WbWがLV.7漁場 #8061(X:874,Y:124)を 占領",,,
existing_newer,469,#480,699,299,2026/05/27 23:13,2026/05/24 11:16:00,SsQ,CDf8,IMG_0904.PNG,"連盟CDf8がLV.3漁場 #480(X:699,Y:299)を 占領",,,
existing_newer,468,#480,699,199,2026/05/24 11:20,2026/05/24 11:16:00,GcC,GcC,IMG_0904.PNG,"連盟GCCがLV.2漁場 #480(X:699,Y:199)を占 領",,,
existing_newer,467,#480,599,299,2026/05/24 11:25,2026/05/24 11:20:00,WbW,WbW,IMG_0905.PNG,"連盟WbWがLV.3漁場 #480(X:599,Y:299)を 占領",,,
existing_newer,1957,#8061,924,224,2026/05/24 11:41,2026/05/24 11:36:00,CDf8,CDf8,IMG_0907.PNG,"連盟CDf8がLV.6漁場 #8061(X:924,Y:224)を 占領",,,
